,P.S1,P.C1,P.S2,P.C2,F.S1,F.C1,F.S2,F.C2,F.S3,F.C3,T.S4,T.C4,R.S5,R.C5,Rank,Winner
Player 1 Game 1,Diamonds,3,Diamonds,K,Diamonds,J,Hearts,6,Clubs,10,Spades,A,Hearts,5,High Card,0
Player 2 Game 1,Spades,5,Hearts,A,Diamonds,J,Hearts,6,Clubs,10,Spades,A,Hearts,5,Two Pair,1
Player 1 Game 2,Hearts,Q,Hearts,9,Spades,9,Clubs,4,Spades,8,Diamonds,K,Diamonds,Q,Straight,1
Player 2 Game 2,Clubs,9,Diamonds,4,Spades,9,Clubs,4,Spades,8,Diamonds,K,Diamonds,Q,Two Pair,0
Player 1 Game 3,Spades,Q,Diamonds,3,Diamonds,K,Diamonds,2,Spades,9,Clubs,5,Diamonds,4,High Card,0
Player 2 Game 3,Diamonds,A,Hearts,A,Diamonds,K,Diamonds,2,Spades,9,Clubs,5,Diamonds,4,One Pair,1
Player 1 Game 4,Diamonds,5,Clubs,A,Hearts,4,Spades,4,Hearts,J,Diamonds,A,Clubs,4,Full House,1
Player 2 Game 4,Clubs,J,Clubs,8,Hearts,4,Spades,4,Hearts,J,Diamonds,A,Clubs,4,Full House,0
Player 1 Game 5,Hearts,A,Hearts,10,Spades,7,Clubs,A,Diamonds,3,Spades,3,Clubs,8,Two Pair,1
Player 2 Game 5,Spades,4,Clubs,6,Spades,7,Clubs,A,Diamonds,3,Spades,3,Clubs,8,One Pair,0
Player 1 Game 6,Diamonds,9,Hearts,6,Clubs,Q,Clubs,2,Hearts,10,Hearts,J,Hearts,A,High Card,0
Player 2 Game 6,Diamonds,A,Spades,2,Clubs,Q,Clubs,2,Hearts,10,Hearts,J,Hearts,A,Two Pair,1
Player 1 Game 7,Hearts,4,Spades,10,Hearts,5,Spades,5,Spades,3,Clubs,2,Spades,J,One Pair,0
Player 2 Game 7,Hearts,7,Hearts,2,Hearts,5,Spades,5,Spades,3,Clubs,2,Spades,J,Two Pair,1
Player 1 Game 8,Clubs,8,Spades,J,Hearts,9,Clubs,9,Clubs,6,Hearts,4,Hearts,Q,One Pair,1
Player 2 Game 8,Spades,3,Spades,2,Hearts,9,Clubs,9,Clubs,6,Hearts,4,Hearts,Q,One Pair,0
Player 1 Game 9,Hearts,10,Diamonds,8,Diamonds,7,Spades,10,Diamonds,A,Hearts,5,Hearts,2,Straight,1
Player 2 Game 9,Hearts,8,Hearts,J,Diamonds,7,Spades,10,Diamonds,A,Hearts,5,Hearts,2,High Card,0
Player 1 Game 10,Spades,A,Hearts,Q,Diamonds,3,Spades,3,Hearts,K,Diamonds,7,Spades,9,One Pair,0
Player 2 Game 10,Spades,7,Spades,2,Diamonds,3,Spades,3,Hearts,K,Diamonds,7,Spades,9,Two Pair,1
Player 1 Game 11,Diamonds,K,Diamonds,3,Clubs,9,Spades,J,Diamonds,8,Diamonds,4,Diamonds,J,Flush,1
Player 2 Game 11,Spades,10,Hearts,5,Clubs,9,Spades,J,Diamonds,8,Diamonds,4,Diamonds,J,One Pair,0
Player 1 Game 12,Spades,7,Hearts,8,Clubs,4,Clubs,5,Hearts,6,Hearts,Q,Diamonds,3,Straight,1
Player 2 Game 12,Diamonds,9,Diamonds,2,Clubs,4,Clubs,5,Hearts,6,Hearts,Q,Diamonds,3,Straight,0
Player 1 Game 13,Diamonds,A,Spades,2,Hearts,4,Hearts,9,Hearts,10,Diamonds,2,Clubs,4,Two Pair,1
Player 2 Game 13,Hearts,8,Spades,3,Hearts,4,Hearts,9,Hearts,10,Diamonds,2,Clubs,4,One Pair,0
Player 1 Game 14,Clubs,9,Diamonds,7,Hearts,J,Clubs,K,Clubs,8,Clubs,7,Hearts,K,Two Pair,1
Player 2 Game 14,Hearts,3,Diamonds,3,Hearts,J,Clubs,K,Clubs,8,Clubs,7,Hearts,K,Two Pair,0
Player 1 Game 15,Clubs,9,Hearts,2,Diamonds,A,Clubs,10,Hearts,10,Spades,4,Hearts,3,One Pair,0
Player 2 Game 15,Spades,K,Spades,3,Diamonds,A,Clubs,10,Hearts,10,Spades,4,Hearts,3,Two Pair,1
Player 1 Game 16,Hearts,5,Spades,3,Clubs,6,Hearts,8,Diamonds,7,Spades,8,Hearts,3,Two Pair,1
Player 2 Game 16,Diamonds,Q,Diamonds,5,Clubs,6,Hearts,8,Diamonds,7,Spades,8,Hearts,3,One Pair,0
Player 1 Game 17,Diamonds,7,Hearts,Q,Diamonds,5,Spades,8,Spades,A,Spades,4,Diamonds,J,High Card,0
Player 2 Game 17,Spades,3,Diamonds,4,Diamonds,5,Spades,8,Spades,A,Spades,4,Diamonds,J,One Pair,1
Player 1 Game 18,Hearts,9,Spades,J,Hearts,8,Clubs,9,Hearts,Q,Clubs,7,Clubs,2,Straight,1
Player 2 Game 18,Clubs,Q,Hearts,10,Hearts,8,Clubs,9,Hearts,Q,Clubs,7,Clubs,2,One Pair,0
